"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","25.00%"
"VTV","Vanguard Value ETF","6.70%"
"VOE","Vanguard Mid-Cap Value ETF","5.40%"
"VBR","Vanguard Small-Cap Value ETF","4.60%"
"VEA","Vanguard FTSE Developed Markets ETF","18.20%"
"VWO","Vanguard FTSE Emerging Markets ETF","12.10%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","1.90%"
"AGG","iShares Core US Aggregate Bond ETF","2.80%"
"MUB","iShares National Muni Bond ETF","10.20%"
"BNDX","Vanguard Total International Bond ETF","8.30%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","4.80%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,676"
"End Balance (inflation adjusted)","$12,609"
"CAGR","6.14%"
"CAGR (inflation adjusted)","4.51%"
"Stdev","8.28%"
"Best Year","17.82%"
"Worst Year","-7.29%"
"Max. Drawdown","-10.49%"
"Sharpe Ratio","0.68"
"Sortino Ratio","1.06"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.53%"
"Arithmetic Mean (annualized)","6.50%"
"Geometric Mean (monthly)","0.50%"
"Geometric Mean (annualized)","6.14%"
"Volatility (monthly)","2.39%"
"Volatility (annualized)","8.28%"
"Downside Deviation (monthly)","1.52%"
"Max. Drawdown","-10.49%"
"US Market Correlation","0.95"
"Beta (*)","0.68"
"Alpha (annualized)","-0.73%"
"R Squared","89.35%"
"Sharpe Ratio","0.68"
"Sortino Ratio","1.06"
"Treynor Ratio (%)","8.32"
"Calmar Ratio","0.84"
"Active Return","-3.98%"
"Tracking Error","4.54%"
"Information Ratio","-0.88"
"Skewness","-0.30"
"Excess Kurtosis","1.06"
"Historical Value-at-Risk (5%)","-4.81%"
"Analytical Value-at-Risk (5%)","-3.38%"
"Conditional Value-at-Risk (5%)","-5.29%"
"Upside Capture Ratio (%)","66.39"
"Downside Capture Ratio (%)","75.74"
"Sustainable Withdrawal Rate","22.31%"
"Positive Periods","41 out of 63 (65.08%)"
"Gain/Loss Ratio","0.96"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2014","0.76%","6.27%","$10,627","12.54%","13.17%","13.96%","10.55%","-5.98%","-0.07%","-1.41%","6.00%","9.35%","8.74%","6.05%"
"2015","0.73%","-1.82%","$10,434","0.36%","-0.98%","-1.89%","-4.76%","-0.38%","-15.81%","0.23%","0.48%","2.91%","1.19%","1.04%"
"2016","2.07%","9.22%","$11,396","12.83%","17.12%","15.40%","24.90%","2.67%","12.21%","2.45%","2.42%","-0.17%","4.61%","9.26%"
"2017","2.11%","17.82%","$13,427","21.21%","17.14%","17.07%","11.80%","26.42%","31.48%","0.82%","3.52%","4.72%","2.40%","10.28%"
"2018","1.91%","-7.29%","$12,448","-5.21%","-5.44%","-12.45%","-12.26%","-14.75%","-14.77%","0.56%","0.33%","0.93%","2.81%","-5.47%"
"2019","0.61%","9.86%","$13,676","14.00%","10.64%","13.80%","13.38%","10.64%","11.77%","1.59%","2.94%","2.42%","2.99%","6.79%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2014","1","-2.89%","$9,711","-3.17%","-3.69%","-2.58%","-2.78%","-5.21%","-8.43%","0.16%","1.54%","2.56%","1.43%","-0.81%"
"2014","2","3.76%","$10,077","4.87%","3.97%","5.39%","4.97%","5.95%","3.24%","0.28%","0.38%","1.05%","0.48%","3.45%"
"2014","3","0.97%","$10,174","0.51%","2.69%","1.15%","1.31%","-0.37%","4.62%","-0.44%","-0.15%","0.08%","0.32%","1.19%"
"2014","4","0.69%","$10,245","0.06%","0.86%","0.41%","-1.13%","1.57%","0.89%","0.57%","0.82%","1.24%","0.60%","1.06%"
"2014","5","1.87%","$10,436","2.10%","1.38%","1.71%","1.64%","1.77%","3.10%","0.73%","1.18%","1.12%","0.74%","3.47%"
"2014","6","1.74%","$10,618","2.62%","1.92%","2.78%","4.32%","1.04%","3.17%","0.30%","-0.06%","-0.16%","0.61%","0.04%"
"2014","7","-1.15%","$10,496","-1.99%","-1.20%","-2.60%","-4.79%","-2.37%","1.37%","-0.34%","-0.25%","0.45%","0.50%","-0.25%"
"2014","8","2.57%","$10,766","4.15%","3.44%","3.86%","5.12%","0.26%","3.84%","-0.08%","1.15%","1.26%","1.37%","1.27%"
"2014","9","-2.85%","$10,459","-2.10%","-1.28%","-3.47%","-5.54%","-4.16%","-7.18%","-1.08%","-0.61%","-0.08%","-0.13%","-2.16%"
"2014","10","1.68%","$10,635","2.75%","1.80%","3.56%","4.85%","-0.35%","2.23%","0.08%","1.06%","0.55%","0.60%","1.97%"
"2014","11","0.96%","$10,738","2.48%","2.47%","2.72%","1.10%","0.00%","-1.10%","-0.16%","0.66%","0.12%","0.91%","-0.41%"
"2014","12","-1.03%","$10,627","-0.04%","0.35%","0.65%","1.79%","-3.77%","-4.69%","-1.41%","0.15%","0.81%","0.98%","-2.72%"
"2015","1","-0.65%","$10,558","-2.74%","-4.10%","-2.37%","-3.30%","0.71%","-0.20%","1.02%","2.05%","1.60%","1.79%","1.87%"
"2015","2","3.87%","$10,967","5.74%","5.31%","5.35%","5.66%","6.16%","4.66%","-0.21%","-0.89%","-1.12%","-0.18%","0.96%"
"2015","3","-0.73%","$10,886","-1.16%","-1.32%","-0.05%","1.30%","-1.22%","-2.05%","-0.35%","0.38%","0.22%","0.49%","0.02%"
"2015","4","1.69%","$11,070","0.62%","1.28%","-0.29%","-1.30%","3.87%","7.41%","0.68%","-0.32%","-0.71%","-1.03%","1.23%"
"2015","5","-0.06%","$11,063","1.30%","1.18%","1.20%","1.37%","-0.05%","-3.55%","-0.08%","-0.44%","-0.49%","-0.52%","-0.31%"
"2015","6","-1.89%","$10,854","-1.67%","-2.24%","-2.34%","-1.51%","-2.91%","-2.54%","-0.14%","-1.08%","-0.34%","-1.35%","-1.81%"
"2015","7","0.25%","$10,882","1.70%","1.02%","0.94%","-0.95%","1.46%","-6.26%","-0.16%","0.86%","1.12%","1.28%","0.15%"
"2015","8","-5.04%","$10,333","-6.09%","-5.84%","-4.41%","-4.84%","-7.23%","-9.86%","-0.39%","-0.34%","-0.11%","-0.70%","-1.13%"
"2015","9","-2.19%","$10,106","-2.92%","-2.54%","-3.40%","-3.58%","-4.08%","-2.88%","-0.06%","0.81%","0.86%","0.81%","-1.07%"
"2015","10","5.12%","$10,624","7.91%","7.65%","6.31%","6.63%","6.73%","5.29%","0.08%","0.07%","0.36%","0.59%","2.43%"
"2015","11","-0.04%","$10,620","0.60%","0.54%","0.62%","1.32%","-0.76%","-2.30%","-0.19%","-0.39%","0.50%","0.19%","0.31%"
"2015","12","-1.75%","$10,434","-2.13%","-1.15%","-2.87%","-4.90%","-2.14%","-3.44%","0.04%","-0.19%","1.02%","-0.14%","-1.52%"
"2016","1","-3.89%","$10,029","-5.72%","-4.76%","-6.86%","-6.37%","-5.53%","-5.75%","0.29%","1.24%","0.77%","1.30%","0.04%"
"2016","2","-0.22%","$10,007","-0.01%","0.10%","1.36%","1.50%","-3.08%","-0.32%","0.12%","0.89%","0.02%","1.26%","1.76%"
"2016","3","6.10%","$10,618","7.11%","6.70%","7.76%","8.94%","7.20%","12.72%","1.19%","0.88%","0.44%","0.75%","3.31%"
"2016","4","1.08%","$10,732","0.66%","1.52%","0.99%","2.10%","2.31%","1.01%","-0.18%","0.26%","0.67%","-0.26%","1.55%"
"2016","5","0.26%","$10,760","1.73%","1.06%","1.44%","1.40%","-0.30%","-3.24%","-0.06%","0.01%","0.28%","0.75%","-0.22%"
"2016","6","1.01%","$10,869","0.27%","1.13%","0.32%","0.15%","-2.04%","4.93%","0.96%","1.94%","1.61%","1.95%","4.17%"
"2016","7","3.14%","$11,210","3.98%","2.81%","4.19%","4.64%","4.16%","5.14%","-0.08%","0.54%","-0.04%","0.82%","1.37%"
"2016","8","0.43%","$11,258","0.21%","0.68%","0.93%","0.73%","0.41%","0.78%","-0.40%","-0.21%","0.13%","0.07%","1.33%"
"2016","9","0.59%","$11,324","0.21%","-0.46%","0.43%","0.30%","1.65%","2.05%","0.83%","0.05%","-0.56%","0.01%","0.41%"
"2016","10","-1.58%","$11,146","-2.19%","-1.09%","-2.42%","-2.92%","-2.41%","0.32%","0.02%","-0.82%","-0.96%","-1.26%","-1.73%"
"2016","11","0.72%","$11,226","4.49%","6.00%","5.94%","10.21%","-1.51%","-4.05%","-0.58%","-2.57%","-4.10%","-1.25%","-4.31%"
"2016","12","1.52%","$11,396","1.98%","2.73%","1.10%","2.86%","2.45%","-0.74%","0.34%","0.25%","1.72%","0.43%","1.49%"
"2017","1","2.05%","$11,630","1.86%","0.49%","2.17%","0.65%","3.67%","5.76%","0.47%","0.21%","0.26%","-0.98%","1.73%"
"2017","2","2.13%","$11,878","3.69%","3.58%","3.35%","2.01%","1.06%","2.25%","0.04%","0.65%","0.52%","0.88%","1.68%"
"2017","3","0.88%","$11,982","0.06%","-0.92%","-0.25%","-0.72%","3.06%","2.84%","0.12%","-0.05%","0.33%","-0.03%","0.51%"
"2017","4","1.11%","$12,116","1.06%","-0.03%","0.39%","0.40%","2.21%","1.56%","-0.02%","0.91%","0.54%","0.49%","1.71%"
"2017","5","1.19%","$12,260","1.01%","0.06%","0.09%","-2.40%","3.41%","0.99%","-0.02%","0.69%","1.53%","0.73%","0.76%"
"2017","6","0.61%","$12,335","0.95%","1.80%","0.90%","2.44%","0.64%","0.85%","-0.44%","-0.02%","-0.42%","-0.54%","-0.72%"
"2017","7","2.12%","$12,596","1.88%","1.54%","1.69%","1.02%","2.88%","5.34%","0.26%","0.33%","0.88%","0.16%","1.18%"
"2017","8","0.55%","$12,665","0.15%","-0.47%","-1.24%","-1.46%","0.02%","3.00%","0.28%","0.94%","0.80%","0.93%","1.99%"
"2017","9","1.47%","$12,852","2.44%","2.98%","2.73%","4.95%","2.52%","-0.49%","-0.10%","-0.57%","-0.43%","-0.40%","-0.19%"
"2017","10","1.49%","$13,043","2.17%","1.83%","0.81%","0.86%","1.77%","2.43%","0.18%","0.10%","0.09%","0.62%","0.24%"
"2017","11","1.39%","$13,225","3.03%","3.52%","3.41%","3.17%","0.86%","-0.34%","-0.12%","-0.15%","-0.47%","0.23%","-0.27%"
"2017","12","1.53%","$13,427","1.16%","1.65%","1.92%","0.50%","1.65%","3.70%","0.17%","0.44%","1.01%","0.27%","1.24%"
"2018","1","3.58%","$13,907","5.23%","4.71%","3.67%","1.93%","4.75%","8.56%","-0.35%","-1.13%","-1.15%","-0.57%","-0.64%"
"2018","2","-3.51%","$13,419","-3.76%","-4.44%","-4.69%","-4.74%","-5.11%","-5.36%","-0.06%","-1.01%","-0.60%","0.26%","-2.18%"
"2018","3","-0.54%","$13,347","-1.95%","-2.45%","-0.29%","0.82%","-0.40%","-0.21%","0.60%","0.67%","0.49%","1.15%","0.55%"
"2018","4","-0.14%","$13,329","0.45%","0.42%","0.45%","0.40%","1.27%","-2.77%","-0.04%","-0.94%","-0.69%","-0.14%","-2.05%"
"2018","5","0.48%","$13,392","2.72%","0.61%","0.04%","4.52%","-1.43%","-2.34%","0.31%","0.66%","1.25%","-0.23%","-0.81%"
"2018","6","-0.60%","$13,312","0.70%","0.20%","0.96%","0.36%","-1.67%","-4.79%","0.21%","0.10%","0.14%","0.60%","-1.49%"
